name,seat_no,party,symbol,alliance,seat,district,division
নাজমুল হক প্রধান,1,Bangladesh JaSaD,মোটরগাড়ি (কার),,Panchagarh-1,Panchagarh,Rangpur
মোঃ ফেরদাউস আলম,1,Bangladesh Labor Party,আনারস,,Panchagarh-1,Panchagarh,Rangpur
মোঃ সিরাজুল ইসলাম,1,BNF,টেলিভিশন,,Panchagarh-1,Panchagarh,Rangpur
মুহাম্মদ নওশাদ জমির,1,BNP,ধানের শীষ,BNP,Panchagarh-1,Panchagarh,Rangpur
মোঃ আব্দুল ওয়াদুদ (বাদশা),1,BSP,একতারা,,Panchagarh-1,Panchagarh,Rangpur
মোঃ মাহাফুজার রহমান,1,GOP (Nuru),ট্রাক,,Panchagarh-1,Panchagarh,Rangpur
মোঃ সারজিস আলম,1,NCP,শাপলা কলি,Jamaat-NCP,Panchagarh-1,Panchagarh,Rangpur
মোঃ এমরান আল আমিন,2,Bangladesh JaSaD,মোটরগাড়ি (কার),,Panchagarh-2,Panchagarh,Rangpur
ফরহাদ হোসেন আজাদ,2,BNP,ধানের শীষ,BNP,Panchagarh-2,Panchagarh,Rangpur
মোঃ দেলোয়ার হোসেন,2,BSP,একতারা,,Panchagarh-2,Panchagarh,Rangpur
মোঃ আশরাফুল আলম,2,CPB,কাস্তে,,Panchagarh-2,Panchagarh,Rangpur
মাহমুদ হোসেন সুমন,2,Independent,ঘোড়া,,Panchagarh-2,Panchagarh,Rangpur
মোঃ কামরুল হাসান প্রধান,2,Islami Andolan Bangladesh,হাতপাখা,IAB,Panchagarh-2,Panchagarh,Rangpur
মোঃ সফিউল আলম,2,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Panchagarh-2,Panchagarh,Rangpur
মোঃ লুৎফর রহমান রিপন,2,JaPa,লাঙ্গল,JaPa,Panchagarh-2,Panchagarh,Rangpur
মির্জা ফখরুল ইসলাম আলমগীর,3,BNP,ধানের শীষ,BNP,Thakurgaon-1,Thakurgaon,Rangpur
মোঃ খাদেমুল ইসলাম,3,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-1,Thakurgaon,Rangpur
দেলাওয়ার হোসেন,3,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-1,Thakurgaon,Rangpur
মোঃ নাহিদ-রানা,4,AB Party,ঈগল,,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ আব্দুস সালাম,4,BNP,ধানের শীষ,BNP,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ ফারুক হোসেন,4,GOP (Nuru),ট্রাক,,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ রেজাউল করিম,4,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-2,Thakurgaon,Rangpur
মোঃ আব্দুল হাকিম,4,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-2,Thakurgaon,Rangpur
নুরুন নাহার বেগম,4,JaPa,লাঙ্গল,JaPa,Thakurgaon-2,Thakurgaon,Rangpur
এস এম খলিলুর রহমান সরকার,5,Bangladesh Muslim League,হারিকেন,,Thakurgaon-3,Thakurgaon,Rangpur
কমলা কান্ত রায়,5,BMJP,রকেট,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ জাহিদুর রহমান,5,BNP,ধানের শীষ,BNP,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ আবুল কালাম আজাদ,5,BSP,একতারা,,Thakurgaon-3,Thakurgaon,Rangpur
প্রভাত সমীর শাহজাহান আলম,5,CPB,কাস্তে,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ মামুনুর রশিদ মামুন,5,GOP (Nuru),ট্রাক,,Thakurgaon-3,Thakurgaon,Rangpur
মোছাঃ আশা মনি,5,Independent,ফুটবল,,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ  আল আমিন,5,Islami Andolan Bangladesh,হাতপাখা,IAB,Thakurgaon-3,Thakurgaon,Rangpur
মোঃ মিজানুর রহমান,5,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Thakurgaon-3,Thakurgaon,Rangpur
হাফিজ উদ্দিন আহম্মেদ,5,JaPa,লাঙ্গল,JaPa,Thakurgaon-3,Thakurgaon,Rangpur
মো. মনজুরুল ইসলাম,6,BNP,ধানের শীষ,BNP,Dinajpur-1,Dinajpur,Rangpur
মো. চাঁন মিঞা,6,Islami Andolan Bangladesh,হাতপাখা,IAB,Dinajpur-1,Dinajpur,Rangpur
