filename,name_bn,seat_no,district,division,wealth,income,tax,party,region
"12,243,এস. এ. কে একরামুজ্জামান.txt",এস. এ. কে একরামুজ্জামান,243,Brahmanbaria,Chittagong,2650302957.0,,,Independent,Rural
"36,80,মাহমুদ হাসান খান.txt",মাহমুদ হাসান খান,80,Chuadanga,Khulna,832023433.0,48377626.0,9440673.0,BNP,Rural
"52,198,মোঃ আজম খান.txt",মোঃ আজম খান,198,Gazipur,Dhaka,486253247.0,3394953.0,731507.0,Janatar Dol,Rural
"13,263,মোঃ আবদুল হান্নান.txt",মোঃ আবদুল হান্নান,263,Chandpur,Chittagong,425977258.0,3745049.0,901891.0,Independent,Rural
"51,171,মোঃ  আব্দুল্লাহ্.txt",মোঃ  আব্দুল্লাহ্,171,Munshiganj,Dhaka,425111112.0,22460185.0,8193972.0,BNP,Rural
"8,291,আলহাজ্ব জসীম উদ্দীন আহমেদ.txt",আলহাজ্ব জসীম উদ্দীন আহমেদ,291,Chittagong,Chittagong,405821013.0,24245738.0,,BNP,Rural
"8,287,সাঈদ আল নোমান.txt",সাঈদ আল নোমান,287,Chittagong,Chittagong,307745948.0,9781350.0,3214029.0,BNP,Urban
"17,254,মোহাম্মদ আমিন উর রশিদ.txt",মোহাম্মদ আমিন উর রশিদ,254,Comilla,Chittagong,292200000.0,16431948.0,5657516.0,Independent,Urban
"50,170,আফরোজা খানম.txt",আফরোজা খানম,170,Manikganj,Dhaka,282495205.0,,,BNP,Urban
"41,96,এম, এ, সালাম.txt",এম এ সালাম,96,Bagerhat,Khulna,260269808.0,1732822.0,,Independent,Urban
"52,194,মোঃ মজিবুর রহমান.txt",মোঃ মজিবুর রহমান,194,Gazipur,Dhaka,249498772.0,4751073.0,1278969.0,BNP,Rural
"35,78,মোঃ শেখ সাদী.txt",মোঃ শেখ সাদী,78,Kushtia,Khulna,223527632.0,26797760.0,5889314.0,Independent,Rural
"47,153,লুৎফুল্লাহেল মাজেদ.txt",লুৎফুল্লাহেল মাজেদ,153,Mymensingh,Mymensingh,219432069.0,42847698.0,6724191.0,BNP,Rural
"32,67,এম, এ, মুহিত.txt",এম এ মুহিত,67,Sirajganj,Rajshahi,213481238.0,27921406.0,,BNP,Rural
"51,173,মোঃ মহিউদ্দিন.txt",মোঃ মহিউদ্দিন,173,Munshiganj,Dhaka,193133194.0,17459730.0,5745503.0,Independent,Urban
"27,40,মোঃ দবিবুর রহমান.txt",মোঃ দবিবুর রহমান,40,Bogra,Rajshahi,188228220.0,12579365.0,4098730.0,Jamaat,Rural
"22,18,আসাদুল হাবিব দুলু.txt",আসাদুল হাবিব দুলু,18,Lalmonirhat,Rangpur,167260453.0,20252026.0,4335016.0,BNP,Urban
"12,248,মোহাম্মদ আবু কায়েস সিকদার.txt",মোহাম্মদ আবু কায়েস সিকদার,248,Brahmanbaria,Chittagong,155857143.0,11311285.0,2504383.0,Independent,Rural
"8,285,এরশাদ উল্লাহ.txt",এরশাদ উল্লাহ,285,Chittagong,Chittagong,150804197.0,4459938.0,642427.0,BNP,Rural
"61,228,মোঃ মিজানুর রহমান চৌধুরী.txt",মোঃ মিজানুর রহমান চৌধুরী,228,Sunamganj,Sylhet,150447471.0,3210354.0,1772106.0,Independent,Rural
