constituencyID,w_med
1,
2,
3,2959659.5
4,4176390.0
5,1875000.0
8,8738610.0
9,280000.0
10,
11,3205000.0
12,14890565.5
13,28173087.5
14,
15,4297629.0
16,24416412.5
17,11471447.0
18,16383638.5
21,
23,775450.0
24,
25,38726807.5
26,22607416.5
27,
28,1940000.0
29,1420000.0
30,1625000.0
31,5176277.0
32,
33,1401600.0
34,2943937.0
35,3853000.0
36,20233145.5
37,55327199.0
38,1423750.0
39,1645000.0
40,94760569.0
41,2563000.0
42,1145000.0
43,12778400.0
44,1643400.0
45,866749.0
46,6578867.0
47,1940974.0
48,500000.0
49,
50,
51,
52,3157400.0
53,19620675.0
54,14643251.0
55,
56,65009169.0
57,
58,4304960.0
59,34247522.0
60,12510742.0
61,3129571.5
62,2018000.0
63,2062173.0
64,
65,2500000.0
66,8151150.0
67,4836000.0
69,
70,19797226.0
71,
72,3035445.0
73,2668096.0
74,2596310.0
75,2660967.0
76,2502000.0
77,3325900.0
78,121995200.0
79,
80,420270392.0
81,62308128.5
82,4084817.0
83,
84,3005606.0
85,25669500.0
86,6190416.0
87,7532027.0
88,2808111.5
89,11133611.0
90,86692000.0
91,12165013.0
92,
93,22158231.5
94,4135440.0
95,
96,14358000.0
97,
98,
100,4941955.0
103,
105,1050000.0
106,2917573.0
107,5291000.0
108,4373658.0
109,2301950.0
110,5819038.0
115,22341050.0
116,1052200.0
117,3706000.0
118,
119,1475000.0
120,2153030.0
121,17514344.0
122,4624750.0
123,2000000.0
124,4357296.0
125,27499228.0
126,3000000.0
127,
128,7319217.0
129,9052088.0
130,
131,2839128.5
132,3288500.0
133,26245183.0
134,2950000.0
135,5016891.0
136,2721038.0
137,
138,1621873.0
139,8952481.0
140,11206062.0
141,8566581.5
142,12264500.0
143,10793040.0
144,
145,2065400.0
146,1938000.0
147,
148,
149,4556334.0
150,149861354.0
151,1270000.0
152,5348260.0
153,110928534.5
154,
155,2761926.5
156,1192500.0
157,3223340.0
158,5232040.0
159,5490602.0
160,1230000.0
161,2002000.0
162,15957131.5
163,2028324.0
164,3797630.0
165,3235503.0
166,
167,3074835.0
168,37668599.0
169,5299798.5
170,27959447.5
171,212920556.0
172,2529974.0
173,1145000.0
174,42471081.0
175,73785212.0
176,13435396.5
177,
178,7103411.0
179,21330522.5
180,22777422.0
181,3636170.0
182,4904860.0
183,11517391.5
184,2688945.5
185,6517520.0
186,8914403.0
187,11928086.0
188,5973988.5
189,12136872.0
190,31505784.0
191,9259871.0
192,918755.0
193,12230064.0
194,8627093.0
195,2636713.5
196,
197,7106973.0
198,20377299.0
199,1160187.0
200,8505384.5
201,4351324.0
202,2563705.5
203,
204,8789460.5
205,49199139.5
206,44719607.5
207,16195670.5
208,1026110.0
209,2150000.0
210,12559815.0
211,15212117.5
212,
213,3195552.5
214,10672004.0
215,5310804.0
216,4783577.0
217,3497310.0
218,35553163.5
219,2344500.0
220,5456469.0
224,2542109.0
225,
226,83002576.0
227,5957023.5
228,6229159.0
229,65358543.5
230,13496836.0
231,8447554.0
232,
233,4181501.0
234,4690107.0
235,24537000.0
236,22194604.0
237,21712768.0
238,3221132.0
239,75130837.0
240,
241,
242,10527828.0
243,2222000.0
244,
245,12547978.0
246,70101804.5
247,3317160.0
248,4662602.0
249,18851356.0
250,16081830.0
251,4174389.0
252,8451803.0
253,7144645.5
254,150281627.5
255,56388495.0
256,17732392.0
257,11707842.0
258,3871849.5
259,7754596.0
260,
261,2090000.0
262,5528000.0
263,425977258.0
264,4079389.0
265,4271000.0
266,7982771.0
267,5437975.0
268,95588024.0
269,7115561.0
270,13611884.0
271,
272,3724930.0
273,
274,8395625.0
275,
276,20466283.5
277,3590000.0
278,3202727.0
279,63420900.0
280,9430240.0
281,1565518.0
282,49534696.0
283,
284,1940346.0
285,17200782.0
286,14652802.5
287,6854594.5
288,4068152.0
289,4988588.5
290,9378473.0
291,56559591.0
292,
293,3971494.5
294,8601418.0
295,5008142.0
296,75028504.0
297,
298,1992096.0
299,2892500.0
