filename,name_bn,zillaID,constituencyID,income,tax,wealth,party,district
"2,120,সরদার সরফুদ্দিন আহমেদ.txt",সরদার সরফুদ্দিন আহমেদ,2,120,,0.0,10363773.0,BNP,Barisal
"3,115,গোলাম নবী আলমগীর.txt",গোলাম নবী আলমগীর,3,115,10064045.0,97202.0,73121445.0,BNP,Bhola
"4,125,রফিকুল ইসলাম জামাল.txt",রফিকুল ইসলাম জামাল,4,125,4971971.0,82680.0,46854516.0,BNP,Jhalokati
"6,129,মোঃ মাশরেকুল আজম (রবি).txt",মোঃ মাশরেকুল আজম (রবি),6,129,875126.0,48769.0,12217051.0,JaPa,Pirojpur
"8,291,আলহাজ্ব জসীম উদ্দীন আহমেদ.txt",আলহাজ্ব জসীম উদ্দীন আহমেদ,8,291,24245738.0,,405821013.0,BNP,Chittagong
"9,296,লুৎফুর রহমান.txt",লুৎফুর রহমান,9,296,2235479.0,228207.0,75028504.0,BNP,Cox's Bazar
"10,298,ধর্ম জ্যোতি চাকমা.txt",ধর্ম জ্যোতি চাকমা,10,298,320000.0,0.0,1490000.0,Independent,Khagrachari
"11,299,মোখতার আহম্মদ.txt",মোখতার আহম্মদ,11,299,779275.0,31063.0,7968466.0,Jamaat,Rangamati
"12,243,এস. এ. কে একরামুজ্জামান.txt",এস. এ. কে একরামুজ্জামান,12,243,,,2650302957.0,Independent,Brahmanbaria
"13,263,মোঃ আবদুল হান্নান.txt",মোঃ আবদুল হান্নান,13,263,3745049.0,901891.0,425977258.0,Independent,Chandpur
"14,265,মুন্সী রফিকুল আলম.txt",মুন্সী রফিকুল আলম,14,265,,3278265.0,36696023.0,BNP,Feni
"15,272,খাজা তানভীর আহমেদ.txt",খাজা তানভীর আহমেদ,15,272,641202.0,7444.0,24656500.0,JaPa,Noakhali
"16,276,মোঃ শহীদউদ্দীন চৌধুরী এ্যানি.txt",মোঃ শহীদউদ্দীন চৌধুরী এ্যানি,16,276,4736054.0,986058.0,39031067.0,BNP,Lakshmipur
"17,254,মোহাম্মদ আমিন উর রশিদ.txt",মোহাম্মদ আমিন উর রশিদ,17,254,16431948.0,5657516.0,292200000.0,Independent,Comilla
"19,3,দেলাওয়ার হোসেন.txt",দেলাওয়ার হোসেন,19,3,807319.0,40822.0,4964319.0,Jamaat,Thakurgaon
"20,8,সৈয়দ জাহাঙ্গীর আলম.txt",সৈয়দ জাহাঙ্গীর আলম,20,8,354757.0,16992.0,13682186.0,BNP,Dinajpur
"21,13,শাহরিন ইসলাম.txt",শাহরিন ইসলাম,21,13,450000.0,5000.0,39970695.0,BNP,Nilphamari
"22,18,আসাদুল হাবিব দুলু.txt",আসাদুল হাবিব দুলু,22,18,20252026.0,4335016.0,167260453.0,BNP,Lalmonirhat
"24,25,সাইফুর রহমান রানা.txt",সাইফুর রহমান রানা,24,25,509378.0,12032.0,71235702.0,BNP,Kurigram
"25,30,মোঃ আব্দুর রশীদ সরকার.txt",মোঃ আব্দুর রশীদ সরকার,25,30,392000.0,3000.0,9952000.0,JaPa,Gaibandha
"26,34,মোঃ জালাল উদ্দীন মন্ডল.txt",মোঃ জালাল উদ্দীন মন্ডল,26,34,,0.0,32581428.0,Independent,Joypurhat
"27,40,মোঃ দবিবুর রহমান.txt",মোঃ দবিবুর রহমান,27,40,12579365.0,4098730.0,188228220.0,Jamaat,Bogra
"29,46,মাহমুদুস সালেহীন.txt",মাহমুদুস সালেহীন,29,46,3555497.0,608739.0,6578867.0,Independent,Naogaon
"30,56,রেজাউল করিম.txt",রেজাউল করিম,30,56,,375868.0,65009169.0,Independent,Rajshahi
"31,59,সাবিনা ইয়াসমিন.txt",সাবিনা ইয়াসমিন,31,59,23874979.0,7360496.0,84626872.0,Independent,Natore
"32,67,এম, এ, মুহিত.txt",এম এ মুহিত,32,67,27921406.0,,213481238.0,BNP,Sirajganj
"33,72,মোঃ ইকবাল হোসাইন.txt",মোঃ ইকবাল হোসাইন,33,72,563343.0,6154.0,5120890.0,Jamaat,Pabna
"34,73,মোঃ কামরুল হাসান.txt",মোঃ কামরুল হাসান,34,73,471289.0,8193.0,2668096.0,BNP,Meherpur
"35,78,মোঃ শেখ সাদী.txt",মোঃ শেখ সাদী,35,78,26797760.0,5889314.0,223527632.0,Independent,Kushtia
