seat,vote_diff_pc
Panchagarh-1,6.94
Panchagarh-2,8.82
Thakurgaon-1,16.36
Thakurgaon-2,10.2
Thakurgaon-3,7.85
Dinajpur-1,18.66
Dinajpur-2,9.6
Dinajpur-3,12.24
Dinajpur-4,13.0
Dinajpur-5,12.76
Dinajpur-6,5.28
Nilphamari-1,4.52
Nilphamari-2,3.54
Nilphamari-3,5.88
Nilphamari-4,4.7
Lalmonirhat-1,10.28
Lalmonirhat-2,7.14
Lalmonirhat-3,10.18
Rangpur-1,
Rangpur-2,7.6
Rangpur-3,
Rangpur-4,14.08
Rangpur-5,16.41
Rangpur-6,13.5
Kurigram-1,12.76
Kurigram-2,8.64
Kurigram-3,13.6
Kurigram-4,11.45
Gaibandha-1,12.4
Gaibandha-2,
Gaibandha-3,16.67
Gaibandha-4,12.06
Gaibandha-5,12.32
Joypurhat-1,12.86
Joypurhat-2,
Bogra-1,
Bogra-2,
Bogra-3,14.14
Bogra-4,19.42
Bogra-5,8.26
Bogra-6,
Bogra-7,
Chapai Nawabganj-1,6.1
Chapai Nawabganj-2,
Chapai Nawabganj-3,12.74
Naogaon-1,
Naogaon-2,8.52
Naogaon-3,12.23
Naogaon-4,11.36
Naogaon-5,15.77
Naogaon-6,12.54
Rajshahi-1,14.84
Rajshahi-2,17.6
Rajshahi-3,10.86
Rajshahi-4,8.3
Rajshahi-5,5.68
Rajshahi-6,12.19
Natore-1,9.5
Natore-2,7.15
Natore-3,3.57
Natore-4,9.3
Sirajganj-1,
Sirajganj-2,10.09
Sirajganj-3,8.44
Sirajganj-4,
Sirajganj-5,4.38
Sirajganj-6,
Pabna-1,8.25
Pabna-2,8.29
Pabna-3,11.86
Pabna-4,7.58
Pabna-5,11.06
Meherpur-1,12.3
Meherpur-2,5.7
Kushtia-1,13.74
Kushtia-2,13.4
Kushtia-3,14.06
Kushtia-4,3.22
Chuadanga-1,9.88
Chuadanga-2,5.68
Jhenaidah-1,7.79
Jhenaidah-2,8.68
Jhenaidah-3,12.89
Jhenaidah-4,8.84
Jessore-1,4.12
Jessore-2,8.41
Jessore-3,8.93
Jessore-4,10.85
Jessore-5,8.92
Jessore-6,7.58
Magura-1,9.09
Magura-2,5.26
Narail-1,16.36
Narail-2,17.67
Bagerhat-1,18.48
Bagerhat-2,3.96
Bagerhat-3,14.64
Bagerhat-4,
Khulna-1,
Khulna-2,10.9
Khulna-3,9.58
Khulna-4,4.64
Khulna-5,14.96
Khulna-6,7.88
Satkhira-1,10.12
Satkhira-2,10.02
Satkhira-3,5.32
Satkhira-4,7.22
Barguna-1,
Barguna-2,11.08
Patuakhali-1,8.26
Patuakhali-2,16.9
Patuakhali-3,
Patuakhali-4,12.19
Bhola-1,7.12
Bhola-2,16.2
Bhola-3,17.5
Bhola-4,17.57
Barisal-1,8.44
Barisal-2,7.0
Barisal-3,11.95
Barisal-4,18.57
Barisal-5,18.82
Barisal-6,12.16
Jhalokati-1,
Jhalokati-2,12.88
Pirojpur-1,8.61
Pirojpur-2,
Pirojpur-3,13.18
Tangail-1,15.36
