party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc
BNP,36453458,29.75,208.0,168,208.0,69.33,56.0,59.43
Jamaat,22756998,18.57,69.0,105,69.0,23.0,35.0,19.71
Independent,2293779,1.87,7.0,10,7.0,2.33,3.33,2.0
NCP,2151569,1.76,6.0,9,6.0,2.0,3.0,1.71
Bangladesh Khelafat Mojlish,1227713,1.0,2.0,5,38.0,0.67,1.67,10.86
BJP,105543,0.09,1.0,0,1.0,0.33,0.0,0.29
GOP (Nuru),201672,0.16,1.0,0,1.0,0.33,0.0,0.29
Ganosamhati Andolon (Saki),95342,0.08,1.0,0,1.0,0.33,0.0,0.29
Islami Andolan Bangladesh,337061,0.28,1.0,1,1.0,0.33,0.33,0.29
Khelafat Mojlish,474820,0.39,1.0,2,15.0,0.33,0.67,4.29
