seat,turnout_pc_std
Panchagarh-1,12.879236519814887
Panchagarh-2,13.955882869480766
Thakurgaon-1,10.36122901332977
Thakurgaon-2,12.32274320108961
Thakurgaon-3,10.094883192324057
Dinajpur-1,12.504532511586888
Dinajpur-2,9.02713501985357
Dinajpur-3,11.205467415507485
Dinajpur-4,12.499333315554608
Dinajpur-5,12.006942436218585
Dinajpur-6,14.010591231874065
Nilphamari-1,11.547582719628677
Nilphamari-2,11.81044735252085
Nilphamari-3,14.058775432684973
Nilphamari-4,16.428873718750975
Lalmonirhat-1,12.369182134105177
Lalmonirhat-2,12.892730509864846
Lalmonirhat-3,12.002499739637575
Rangpur-1,13.127833027579234
Rangpur-2,12.32355468199009
Rangpur-3,8.099999999999994
Rangpur-4,10.585327896039237
Rangpur-5,12.445715460885857
Rangpur-6,15.105186747162934
Kurigram-1,18.04630617790429
Kurigram-2,14.977093621037866
Kurigram-3,14.905971957574591
Kurigram-4,18.92165866584287
Gaibandha-1,16.853758235677482
Gaibandha-2,
Gaibandha-3,13.216750735335818
Gaibandha-4,14.432688592220092
Gaibandha-5,14.690898542975507
Joypurhat-1,10.404285975821054
Joypurhat-2,12.047786795368964
Bogra-1,15.559455860237094
Bogra-2,14.435257762390894
Bogra-3,9.862851176679765
Bogra-4,9.213169921368001
Bogra-5,12.1897156105738
Bogra-6,9.152048950918038
Bogra-7,9.076847837584733
Chapai Nawabganj-1,6.8844631841076245
Chapai Nawabganj-2,
Chapai Nawabganj-3,7.2769041036235595
Naogaon-1,
Naogaon-2,10.3978763857498
Naogaon-3,9.489072662805366
Naogaon-4,8.779664002682551
Naogaon-5,6.957729514719593
Naogaon-6,7.484650960465692
Rajshahi-1,8.033471644729113
Rajshahi-2,4.1452784385772325
Rajshahi-3,10.195546413344735
Rajshahi-4,7.53762783197296
Rajshahi-5,7.455367194176284
Rajshahi-6,
Natore-1,6.024049025918252
Natore-2,7.667409384314018
Natore-3,10.29251346043975
Natore-4,8.419421991245398
Sirajganj-1,18.302786673072486
Sirajganj-2,13.582924329220619
Sirajganj-3,14.50732573564128
Sirajganj-4,
Sirajganj-5,15.328269091235754
Sirajganj-6,
Pabna-1,10.92077530825231
Pabna-2,13.463654778699578
Pabna-3,9.56695702230687
Pabna-4,9.44329568176986
Pabna-5,11.558114033007296
Meherpur-1,6.707396414903964
Meherpur-2,8.05708797684788
Kushtia-1,8.389825186895523
Kushtia-2,13.905993911499703
Kushtia-3,8.64349466361842
Kushtia-4,9.376699845894606
Chuadanga-1,10.144086947576895
Chuadanga-2,12.876173085716633
Jhenaidah-1,8.80492286545809
Jhenaidah-2,11.011319932990174
Jhenaidah-3,8.672706228930696
Jhenaidah-4,9.452116165176975
Jessore-1,7.98138459166077
Jessore-2,9.440692065027154
Jessore-3,6.770708973216908
Jessore-4,8.939565612116366
Jessore-5,9.24589999224882
Jessore-6,7.553586344688642
Magura-1,7.634570496541812
Magura-2,9.928746144403133
Narail-1,13.73034959496663
Narail-2,11.471123165002926
Bagerhat-1,12.882416957491579
Bagerhat-2,12.009579509708079
Bagerhat-3,13.83208829738542
Bagerhat-4,
Khulna-1,9.99149638442611
Khulna-2,13.663942817991204
Khulna-3,10.282468899377553
Khulna-4,13.042111281026044
Khulna-5,8.650385347871316
Khulna-6,9.572312503604692
Satkhira-1,7.590070267571094
Satkhira-2,9.314996868849004
Satkhira-3,10.421452234053886
Satkhira-4,6.618345714753795
Barguna-1,15.167371778481158
Barguna-2,13.11830781770271
Patuakhali-1,19.08970053894682
Patuakhali-2,17.3993294889966
Patuakhali-3,18.9863766948831
Patuakhali-4,16.010309178776023
Bhola-1,12.313508841918303
Bhola-2,22.155116038212633
Bhola-3,18.220935760821945
Bhola-4,20.773921953577606
Barisal-1,10.92439929698654
Barisal-2,16.69091569287517
Barisal-3,19.19036216437824
Barisal-4,20.854176240424042
Barisal-5,13.958599499949845
Barisal-6,15.383188876172584
Jhalokati-1,17.032199897057723
Jhalokati-2,17.180293943934725
Pirojpur-1,14.799183536037837
Pirojpur-2,15.167630006035889
Pirojpur-3,15.289320891829481
Tangail-1,15.405951231044888
Tangail-2,12.961609982302873
Tangail-3,11.514157951553967
Tangail-4,11.404787006633079
Tangail-5,11.748297749035814
Tangail-6,15.181430543046119
Tangail-7,12.211606500920892
Tangail-8,14.303729117494738
Jamalpur-1,19.075354955194587
Jamalpur-2,16.660807303369186
Jamalpur-3,18.32564232616873
Jamalpur-4,14.455448799674118
Jamalpur-5,16.015487296155975
Sherpur-1,15.06239799412209
Sherpur-2,13.294359706281456
Sherpur-3,16.399059932406704
Mymensingh-1,17.90965754372018
Mymensingh-2,19.121955095299928
Mymensingh-3,14.452075975443801
Mymensingh-4,12.72356737187597
Mymensingh-5,17.048655860995808
Mymensingh-6,16.40853436477493
Mymensingh-7,14.271883781290633
Mymensingh-8,16.593648383241906
Mymensingh-9,16.46154609992634
Mymensingh-10,11.619057620994914
Mymensingh-11,12.699179763538533
Netrokona-1,15.162755906057011
Netrokona-2,13.836515698204757
Netrokona-3,15.430921337798768
Netrokona-4,12.80348259914726
Netrokona-5,
Kishoreganj-1,15.493762185688361
Kishoreganj-2,
Kishoreganj-3,
Kishoreganj-4,15.525543468748527
Kishoreganj-5,15.401623291069033
Kishoreganj-6,13.800966149754398
Manikganj-1,14.02364075409806
Manikganj-2,15.062436721858786
Manikganj-3,10.552211458583775
Munshiganj-1,11.246332735607641
Munshiganj-2,13.011885592283186
Munshiganj-3,
Dhaka-1,11.7919110693164
Dhaka-2,11.78880118304373
Dhaka-3,8.279694036214947
Dhaka-4,15.880071368437441
Dhaka-5,12.911235417263528
Dhaka-6,13.076792420161759
Dhaka-7,9.63790260724119
Dhaka-8,11.381966731047257
Dhaka-9,12.029962593458054
Dhaka-10,11.589470796086129
Dhaka-11,9.912071764604342
Dhaka-12,6.974955196988727
Dhaka-13,
Dhaka-14,
Dhaka-15,
Dhaka-16,
Dhaka-17,
Dhaka-18,
Dhaka-19,
Dhaka-20,
Gazipur-1,
Gazipur-2,7.368853370776213
Gazipur-3,9.082217056791068
Gazipur-4,11.804060035993272
Gazipur-5,
Narsingdi-1,12.07932117297988
Narsingdi-2,9.543933500746254
Narsingdi-3,11.675437179537795
Narsingdi-4,13.277142011743337
Narsingdi-5,12.767014790727968
Narayanganj-1,
Narayanganj-2,10.068763578513506
Narayanganj-3,
Narayanganj-4,11.385077953180641
Narayanganj-5,16.72909142780922
Rajbari-1,11.532129031536199
Rajbari-2,
Faridpur-1,14.196126232180386
Faridpur-2,13.58074617488548
Faridpur-3,9.176192020658679
Faridpur-4,14.4543822651356
Gopalganj-1,12.567948652557954
Gopalganj-2,15.526429080764194
Gopalganj-3,14.720365711036752
Madaripur-1,15.762508260637533
Madaripur-2,12.640806936267952
Madaripur-3,14.66674242404677
Shariatpur-1,15.504273604396952
Shariatpur-2,17.977462742741718
Shariatpur-3,14.493533040635752
Sunamganj-1,16.451747627531855
Sunamganj-2,10.735416464519046
Sunamganj-3,17.632049417656102
Sunamganj-4,12.060127141397246
Sunamganj-5,15.103945400678153
Sylhet-1,15.501612819316579
Sylhet-2,19.97915580465468
Sylhet-3,13.850872415363112
Sylhet-4,21.380735098058093
Sylhet-5,15.679498291293203
Sylhet-6,13.987464626109569
Moulvibazar-1,12.615169440003571
Moulvibazar-2,10.216816203364598
Moulvibazar-3,19.073725383364415
Moulvibazar-4,10.724737759031683
Habiganj-1,15.786360146235948
Habiganj-2,11.216505694733996
Habiganj-3,15.087964298296399
Habiganj-4,13.30322642569588
Brahmanbaria-1,12.102720079937948
Brahmanbaria-2,11.863248571393367
Brahmanbaria-3,13.079086359528338
Brahmanbaria-4,14.891020784351893
Brahmanbaria-5,13.707054144977079
Brahmanbaria-6,12.770636893540853
Comilla-1,14.5204166606885
Comilla-2,17.519037264263893
Comilla-3,15.734992850332027
Comilla-4,18.30755763794468
Comilla-5,16.721518073029937
Comilla-6,12.814314912107735
Comilla-7,13.77860660589452
Comilla-8,12.976517252329302
Comilla-9,14.558960585609585
Comilla-10,17.036138060018175
Comilla-11,18.846816707338135
Chandpur-1,16.645194501717306
Chandpur-2,15.397618863534284
Chandpur-3,16.2774639711883
Chandpur-4,14.352090440071795
Chandpur-5,17.771020417147316
Feni-1,14.878255946178648
Feni-2,17.32070052470935
Feni-3,16.94520581167429
Noakhali-1,18.96988841998462
Noakhali-2,19.542496428723396
Noakhali-3,17.398179981442503
Noakhali-4,20.821943553216478
Noakhali-5,20.75451758051726
Noakhali-6,18.855768348173992
Lakshmipur-1,18.325460430777728
Lakshmipur-2,22.428999086004705
Lakshmipur-3,
Lakshmipur-4,15.42130560836749
Chittagong-1,10.109253187055906
Chittagong-2,11.333541664751866
Chittagong-3,12.534053614054786
Chittagong-4,22.09183484155779
Chittagong-5,11.343720729989789
Chittagong-6,16.337074401495514
Chittagong-7,10.115829180052424
Chittagong-8,9.875685630206469
Chittagong-9,18.254200429855405
Chittagong-10,9.212672431674397
Chittagong-11,11.24233071920587
Chittagong-12,16.520794976836516
Chittagong-13,13.061265890665673
Chittagong-14,15.563927310718633
Chittagong-15,15.47112902581235
Chittagong-16,
Cox's Bazar-1,15.698699521510267
Cox's Bazar-2,15.451105677803985
Cox's Bazar-3,23.096897338531566
Cox's Bazar-4,14.54682095854624
Khagrachari,
Rangamati,
Bandarban,
